"Month","Monthly flows, chang jiang at han kou, 1865-1979"
"1865-01",3880
"1865-02",3290
"1865-03",4910
"1865-04",8760
"1865-05",13800
"1865-06",21700
"1865-07",32400
"1865-08",41400
"1865-09",39600
"1865-10",34600
"1865-11",23300
"1865-12",8720
"1866-01",4170
"1866-02",5750
"1866-03",10700
"1866-04",17500
"1866-05",29400
"1866-06",37300
"1866-07",45700
"1866-08",51800
"1866-09",46700
"1866-10",32300
"1866-11",18200
"1866-12",8140
"1867-01",5540
"1867-02",7750
"1867-03",11100
"1867-04",16900
"1867-05",24800
"1867-06",31000
"1867-07",39000
"1867-08",44500
"1867-09",45700
"1867-10",30100
"1867-11",20500
"1867-12",13100
"1868-01",7990
"1868-02",6630
"1868-03",13500
"1868-04",19800
"1868-05",25600
"1868-06",27800
"1868-07",34200
"1868-08",41200
"1868-09",44400
"1868-10",16900
"1868-11",39700
"1868-12",24600
"1869-01",13800
"1869-02",12600
"1869-03",20000
"1869-04",22600
"1869-05",27000
"1869-06",36100
"1869-07",48400
"1869-08",50200
"1869-09",50000
"1869-10",41500
"1869-11",28400
"1869-12",13500
"1870-01",7470
"1870-02",5490
"1870-03",7080
"1870-04",13100
"1870-05",21600
"1870-06",33900
"1870-07",50300
"1870-08",58100
"1870-09",42100
"1870-10",30700
"1870-11",18500
"1870-12",9490
"1871-01",6120
"1871-02",6230
"1871-03",9770
"1871-04",9960
"1871-05",19200
"1871-06",23700
"1871-07",37100
"1871-08",42000
"1871-09",44400
"1871-10",39700
"1871-11",33000
"1871-12",16100
"1872-01",8000
"1872-02",8310
"1872-03",13200
"1872-04",16700
"1872-05",26300
"1872-06",40400
"1872-07",49000
"1872-08",41300
"1872-09",34600
"1872-10",29500
"1872-11",19000
"1872-12",9110
"1873-01",6420
"1873-02",5310
"1873-03",6430
"1873-04",11400
"1873-05",12900
"1873-06",23100
"1873-07",39300
"1873-08",43200
"1873-09",40800
"1873-10",35500
"1873-11",26100
"1873-12",12200
"1874-01",6890
"1874-02",10100
"1874-03",18900
"1874-04",19900
"1874-05",23200
"1874-06",21500
"1874-07",32000
"1874-08",33400
"1874-09",32400
"1874-10",36000
"1874-11",28100
"1874-12",13700
"1875-01",7310
"1875-02",7480
"1875-03",16600
"1875-04",18200
"1875-05",26600
"1875-06",31700
"1875-07",42600
"1875-08",40500
